Name,URL,"Price, rub",Year,KmAge,Engine,GearBox,CarType,Place
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1116802836-a5bfbd7f/?from=searchline,100000,2004,155000,1.5 л/70л.с./Бензин,механика,седан,Белебей (130км отУфы)
LADA (ВАЗ) 2107,https://auto.ru/cars/used/sale/vaz/2107/1116802078-832a1949/?from=searchline,80000,2006,121000,1.6 л/74л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116135728-b003bda5/?from=searchline,220000,2009,281000,1.6 л/81л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) 2121 (4x4) I Рестайлинг (2020),https://auto.ru/cars/used/sale/vaz/2121/1116348632-e4d77c75/?from=searchline,800000,2021,57000,1.7 л/83л.с./Бензин,механика,внедорожник 3 дв.,Уфа
LADA (ВАЗ) Vesta Cross I,https://auto.ru/cars/used/sale/vaz/vesta/1116802542-d6eb9a40/?from=searchline,1460000,2020,90000,1.6 л/113л.с./Бензин,вариатор,седан,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116802211-675655f9/?from=searchline,470000,2016,214000,1.6 л/87л.с./Бензин,механика,лифтбек,Уфа
LADA (ВАЗ) Kalina I,https://auto.ru/cars/used/sale/vaz/kalina/1116802996-6256caec/?from=searchline,210000,2006,229000,1.6 л/81л.с./Бензин,механика,седан,Туймазы (140км отУфы)
LADA (ВАЗ) Vesta SW I,https://auto.ru/cars/used/sale/vaz/vesta/1106593879-04d6a431/?from=searchline,1080000,2020,41000,1.8 л/122л.с./Бензин,механика,универсал 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) 2110,https://auto.ru/cars/used/sale/vaz/2110/1116787058-2e9949f0/?from=searchline,170000,2006,179000,1.5 л/90л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/used/sale/vaz/niva/1116380674-64e4c1dc/?from=searchline,1340000,2021,4000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Уфа
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/used/sale/vaz/niva/1116380535-ffda3d85/?from=searchline,1370000,2022,5000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Уфа
LADA (ВАЗ) Granta Sport I,https://auto.ru/cars/used/sale/vaz/granta/1116801351-6729a298/?from=searchline,520000,2015,115000,1.6 л/118л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116799705-2b17b54f/?from=searchline,770000,2017,123000,1.6 л/102л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2104,https://auto.ru/cars/used/sale/vaz/2104/1115986380-74f2175b/?from=searchline,200000,1989,41000,1.6 л/74л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) 2115,https://auto.ru/cars/used/sale/vaz/2115/1114965916-7137d99f/?from=searchline,190000,2013,106000,1.3 л/135л.с./Бензин,механика,седан,Уфа
LADA (ВАЗ) Kalina Cross II,https://auto.ru/cars/used/sale/vaz/kalina/1116798965-d4f665a0/?from=searchline,540000,2015,125000,1.6 л/106л.с./Бензин,робот,универсал 5 дв.,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116798260-080d2cb4/?from=searchline,500000,2016,113000,1.6 л/87л.с./Бензин,механика,лифтбек,Микрорайон Первомайский (110км отУфы)
LADA (ВАЗ) Kalina II,https://auto.ru/cars/used/sale/vaz/kalina/1116733912-dc8f231d/?from=searchline,430000,2014,165000,1.6 л/87л.с./Бензин,автомат,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Granta Euro-2 I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115219964-adc1b5cf/?from=searchline,620000,2019,45000,1.6 л/90л.с./Бензин,механика,седан,Стерлитамак (120км отУфы)
LADA (ВАЗ) Granta I Рестайлинг,https://auto.ru/cars/used/sale/vaz/granta/1115230952-ffeec2c5/?from=searchline,740000,2020,6000,1.6 л/87л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
LADA (ВАЗ) Priora I,https://auto.ru/cars/used/sale/vaz/2170/1116801112-2ccb1650/?from=searchline,200000,2011,240000,1.6 л/98л.с./Бензин,механика,седан,Иглино
LADA (ВАЗ) 2114,https://auto.ru/cars/used/sale/vaz/2114/1116476651-9d2abd7a/?from=searchline,260000,2010,119000,1.6 л/90л.с./Бензин,механика,хэтчбек 5 дв.,Уфа
LADA (ВАЗ) Vesta I,https://auto.ru/cars/used/sale/vaz/vesta/1116794162-dc5da109/?from=searchline,690000,2018,88000,1.8 л/122л.с./Бензин,робот,седан,Уфа
LADA (ВАЗ) Niva Legend,https://auto.ru/cars/used/sale/vaz/niva_legend/1116790016-07401dc7/?from=searchline,1440000,2021,19000,1.7 л/83л.с./Бензин,механика,внедорожник 5 дв.,Уфа
LADA (ВАЗ) Niva I Рестайлинг (Travel),https://auto.ru/cars/used/sale/vaz/niva/1116786791-cd5e891c/?from=searchline,1390000,2022,13000,1.7 л/80л.с./Бензин,механика,внедорожник 5 дв.,Уфа
LADA (ВАЗ) Granta I,https://auto.ru/cars/used/sale/vaz/granta/1116789459-c399b49c/?from=searchline,460000,2017,94000,1.6 л/98л.с./Бензин,автомат,седан,Уфа
LADA (ВАЗ) Largus Cross I,https://auto.ru/cars/used/sale/vaz/largus/1116147549-a06c22e4/?from=searchline,1180000,2019,36000,1.6 л/102л.с./Бензин,механика,универсал 5 дв.,Уфа
LADA (ВАЗ) Largus I,https://auto.ru/cars/used/sale/vaz/largus/1116079343-e9089873/?from=searchline,670000,2017,289000,1.6 л/105л.с./Бензин,механика,фургон,Уфа
LADA (ВАЗ) XRAY Cross I,https://auto.ru/cars/used/sale/vaz/xray/1116631058-f970aa51/?from=searchline,1400000,2020,15000,1.6 л/106л.с./Бензин,механика,хэтчбек 5 дв.,Стерлитамак (120км отУфы)
